"Date first seen","Duration","Proto","Src IP Addr","Src Pt","Dst IP Addr","Dst Pt","Packets","Bytes","Flows","Flags","Tos","class","attackType","attackID","attackDescription"
"2017-03-16 20:31:42.196","    0.073","TCP  ","OPENSTACK_NET","65525","EXT_SERVER","8000","       6","     579","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:31:42.196","    0.054","TCP  ","EXT_SERVER","8000","OPENSTACK_NET","65526","       7","     639","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:31:42.196","    0.054","TCP  ","OPENSTACK_NET","65526","EXT_SERVER","8000","       6","     614","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:31:42.749","    0.073","TCP  ","EXT_SERVER","8000","OPENSTACK_NET","60100","       7","    1727","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:31:42.749","    0.073","TCP  ","OPENSTACK_NET","60100","EXT_SERVER","8000","       5","     533","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:31:42.750","    0.055","TCP  ","EXT_SERVER","8000","OPENSTACK_NET","60101","       7","     639","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:31:42.750","    0.055","TCP  ","OPENSTACK_NET","60101","EXT_SERVER","8000","       6","     614","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 19:36:14.963","   31.000","TCP  ","12875_68","16300","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:14.963","   31.000","TCP  ","EXT_SERVER","80","12875_68","16300","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:36:21.027","   30.999","TCP  ","12875_68","18597","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:21.027","   30.999","TCP  ","EXT_SERVER","80","12875_68","18597","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:36:25.117","   30.997","TCP  ","12875_68","1635","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:25.117","   30.997","TCP  ","EXT_SERVER","80","12875_68","1635","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:31:52.476","    6.049","ICMP ","12895_147","0","EXT_SERVER","3.10","       2","     144","    1","......","  0","suspicious","---","---","---"
"2017-03-16 19:36:31.882","   31.000","TCP  ","12875_68","57026","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:31.882","   31.000","TCP  ","EXT_SERVER","80","12875_68","57026","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:36:36.031","   30.999","TCP  ","12875_68","52268","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:36.031","   30.999","TCP  ","EXT_SERVER","80","12875_68","52268","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:36:42.117","   30.997","TCP  ","12875_68","11750","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:42.117","   30.997","TCP  ","EXT_SERVER","80","12875_68","11750","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:36:46.089","   30.997","TCP  ","12875_68","12884","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:46.089","   30.997","TCP  ","EXT_SERVER","80","12875_68","12884","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:36:53.036","   30.998","TCP  ","12875_68","41107","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:53.036","   30.998","TCP  ","EXT_SERVER","80","12875_68","41107","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:36:57.032","   30.998","TCP  ","12875_68","62679","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:36:57.032","   30.998","TCP  ","EXT_SERVER","80","12875_68","62679","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:37:03.120","   30.998","TCP  ","12875_68","63673","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:03.120","   30.998","TCP  ","EXT_SERVER","80","12875_68","63673","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:37:07.904","   30.998","TCP  ","12875_68","8272","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:07.904","   30.998","TCP  ","EXT_SERVER","80","12875_68","8272","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:35:30.539","   12.926","TCP  ","10004_36","51551","EXT_SERVER","22","       7","    1029","    1",".APRSF","  0","suspicious","---","---","---"
"2017-03-16 20:35:30.539","   12.926","TCP  ","EXT_SERVER","22","10004_36","51551","      11","    5509","    1",".AP.SF","  0","suspicious","---","---","---"
"2017-03-16 19:37:14.020","   30.998","TCP  ","12875_68","51280","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:14.020","   30.998","TCP  ","EXT_SERVER","80","12875_68","51280","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:33:43.377","  121.835","TCP  ","10004_36","63082","EXT_SERVER","22","       3","     173","    1",".APRS.","  0","suspicious","---","---","---"
"2017-03-16 20:33:43.377","  121.835","TCP  ","EXT_SERVER","22","10004_36","63082","      10","    5621","    1",".AP.SF","  0","suspicious","---","---","---"
"2017-03-16 20:35:48.155","    0.070","TCP  ","12896_4","47787","EXT_SERVER","3389","       2","      92","    1","...RS.","  0","suspicious","---","---","---"
"2017-03-16 20:35:48.155","    0.070","TCP  ","EXT_SERVER","3389","12896_4","47787","       1","      40","    1",".A.R..","  0","suspicious","---","---","---"
"2017-03-16 19:37:18.115","   30.999","TCP  ","12875_68","27066","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:18.115","   30.999","TCP  ","EXT_SERVER","80","12875_68","27066","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:35:53.056","    0.001","TCP  ","12897_203","23358","EXT_SERVER","23","       1","      46","    1","....S.","  0","suspicious","---","---","---"
"2017-03-16 20:35:53.056","    0.001","TCP  ","EXT_SERVER","23","12897_203","23358","       1","      40","    1",".A.R..","  0","suspicious","---","---","---"
"2017-03-16 19:37:24.966","   30.996","TCP  ","12875_68","100","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:24.966","   30.996","TCP  ","EXT_SERVER","80","12875_68","100","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:37:28.986","   30.996","TCP  ","12875_68","35303","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:28.986","   30.996","TCP  ","EXT_SERVER","80","12875_68","35303","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:35:48.673","   15.020","TCP  ","12852_83","58798","EXT_SERVER","22","       7","     374","    1",".A.RSF","  0","suspicious","---","---","---"
"2017-03-16 20:35:48.673","   15.020","TCP  ","EXT_SERVER","22","12852_83","58798","      12","     906","    1",".AP.SF","  0","suspicious","---","---","---"
"2017-03-16 19:37:35.084","   30.998","TCP  ","12875_68","61811","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:35.084","   30.998","TCP  ","EXT_SERVER","80","12875_68","61811","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:37:39.127","   30.999","TCP  ","12875_68","8419","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:39.127","   30.999","TCP  ","EXT_SERVER","80","12875_68","8419","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:37:45.915","   30.999","TCP  ","12875_68","41220","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:45.915","   30.999","TCP  ","EXT_SERVER","80","12875_68","41220","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:37:50.079","   30.999","TCP  ","12875_68","10753","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:50.079","   30.999","TCP  ","EXT_SERVER","80","12875_68","10753","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:37:56.059","   30.999","TCP  ","12875_68","56849","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:37:56.059","   30.999","TCP  ","EXT_SERVER","80","12875_68","56849","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:01.045","   30.997","TCP  ","12875_68","45705","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:01.045","   30.997","TCP  ","EXT_SERVER","80","12875_68","45705","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:06.893","   30.997","TCP  ","12875_68","10088","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:06.893","   30.997","TCP  ","EXT_SERVER","80","12875_68","10088","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:11.974","   30.997","TCP  ","12875_68","35494","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:11.974","   30.997","TCP  ","EXT_SERVER","80","12875_68","35494","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:17.030","   30.996","TCP  ","12875_68","50327","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:17.030","   30.996","TCP  ","EXT_SERVER","80","12875_68","50327","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:22.109","   30.997","TCP  ","12875_68","43201","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:22.109","   30.997","TCP  ","EXT_SERVER","80","12875_68","43201","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:34:45.074","  131.625","TCP  ","10004_36","44878","EXT_SERVER","22","       4","     210","    1",".A.RS.","  0","suspicious","---","---","---"
"2017-03-16 20:34:45.074","  131.625","TCP  ","EXT_SERVER","22","10004_36","44878","       7","     413","    1",".AP.SF","  0","suspicious","---","---","---"
"2017-03-16 19:38:28.040","   30.998","TCP  ","12875_68","4658","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:28.040","   30.998","TCP  ","EXT_SERVER","80","12875_68","4658","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:32.921","   31.001","TCP  ","12875_68","655","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:32.921","   31.001","TCP  ","EXT_SERVER","80","12875_68","655","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:38.935","   30.999","TCP  ","12875_68","57099","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:38.935","   30.999","TCP  ","EXT_SERVER","80","12875_68","57099","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:43.047","   30.999","TCP  ","12875_68","53892","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:43.047","   30.999","TCP  ","EXT_SERVER","80","12875_68","53892","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:49.124","   30.998","TCP  ","12875_68","656","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:49.124","   30.998","TCP  ","EXT_SERVER","80","12875_68","656","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:38:54.020","   30.999","TCP  ","12875_68","4937","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:54.020","   30.999","TCP  ","EXT_SERVER","80","12875_68","4937","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:37:26.502","    0.000","TCP  ","12898_255","1166","EXT_SERVER","23","       1","      46","    1","....S.","  0","suspicious","---","---","---"
"2017-03-16 20:37:26.502","    0.000","TCP  ","EXT_SERVER","23","12898_255","1166","       1","      40","    1",".A.R..","  0","suspicious","---","---","---"
"2017-03-16 20:37:22.178","    6.410","TCP  ","10004_36","28587","EXT_SERVER","22","       7","     381","    1",".APRSF","  0","suspicious","---","---","---"
"2017-03-16 20:37:22.178","    6.410","TCP  ","EXT_SERVER","22","10004_36","28587","       9","    4457","    1",".AP.S.","  0","suspicious","---","---","---"
"2017-03-16 19:38:59.974","   30.996","TCP  ","12875_68","15172","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:38:59.974","   30.996","TCP  ","EXT_SERVER","80","12875_68","15172","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:39:04.959","   30.999","TCP  ","12875_68","60457","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:04.959","   30.999","TCP  ","EXT_SERVER","80","12875_68","60457","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:34:40.036","    0.059","TCP  ","EXT_SERVER","8000","OPENSTACK_NET","49223","       7","     556","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:34:40.036","    0.059","TCP  ","OPENSTACK_NET","49223","EXT_SERVER","8000","       6","     515","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:34:40.036","    0.077","TCP  ","EXT_SERVER","8000","OPENSTACK_NET","49222","       7","     702","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:34:40.036","    0.077","TCP  ","OPENSTACK_NET","49222","EXT_SERVER","8000","       6","     586","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:34:40.575","    0.059","TCP  ","EXT_SERVER","8000","OPENSTACK_NET","60150","       7","     556","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:34:40.575","    0.059","TCP  ","OPENSTACK_NET","60150","EXT_SERVER","8000","       6","     515","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:34:40.575","    0.060","TCP  ","EXT_SERVER","8000","OPENSTACK_NET","60151","       7","     702","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 20:34:40.575","    0.060","TCP  ","OPENSTACK_NET","60151","EXT_SERVER","8000","       6","     586","    1",".AP.SF","  0","normal","---","---","---"
"2017-03-16 19:39:10.124","   30.999","TCP  ","12875_68","24652","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:10.124","   30.999","TCP  ","EXT_SERVER","80","12875_68","24652","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:34:43.334","    1.241","TCP  ","12899_133","50633","EXT_SERVER","22","       6","     341","    1",".AP.SF","  0","suspicious","---","---","---"
"2017-03-16 20:34:43.334","    1.241","TCP  ","EXT_SERVER","22","12899_133","50633","       5","    1285","    1",".AP.SF","  0","suspicious","---","---","---"
"2017-03-16 19:39:15.131","   30.999","TCP  ","12875_68","55444","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:15.131","   30.999","TCP  ","EXT_SERVER","80","12875_68","55444","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:39:21.022","   30.996","TCP  ","12875_68","8378","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:21.022","   30.996","TCP  ","EXT_SERVER","80","12875_68","8378","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:39:25.951","   30.999","TCP  ","12875_68","52539","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:25.951","   30.999","TCP  ","EXT_SERVER","80","12875_68","52539","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:39:31.935","   30.999","TCP  ","12875_68","4199","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:31.935","   30.999","TCP  ","EXT_SERVER","80","12875_68","4199","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:39:36.154","   30.997","TCP  ","12875_68","56431","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:36.154","   30.997","TCP  ","EXT_SERVER","80","12875_68","56431","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:39:42.124","   30.998","TCP  ","12875_68","57421","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:42.124","   30.998","TCP  ","EXT_SERVER","80","12875_68","57421","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:38:10.133","    6.501","TCP  ","10004_36","13790","EXT_SERVER","22","       6","     353","    1",".APRSF","  0","suspicious","---","---","---"
"2017-03-16 20:38:10.133","    6.501","TCP  ","EXT_SERVER","22","10004_36","13790","       8","    2470","    1",".AP.SF","  0","suspicious","---","---","---"
"2017-03-16 19:39:47.005","   30.997","TCP  ","12875_68","51334","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:47.005","   30.997","TCP  ","EXT_SERVER","80","12875_68","51334","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:39:52.971","   30.999","TCP  ","12875_68","15426","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:52.971","   30.999","TCP  ","EXT_SERVER","80","12875_68","15426","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:39:57.185","   30.997","TCP  ","12875_68","23198","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:39:57.185","   30.997","TCP  ","EXT_SERVER","80","12875_68","23198","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:36:27.654","  121.859","TCP  ","10004_36","25528","EXT_SERVER","22","       4","     210","    1",".A.RS.","  0","suspicious","---","---","---"
"2017-03-16 20:36:27.654","  121.859","TCP  ","EXT_SERVER","22","10004_36","25528","       4","     257","    1",".AP.SF","  0","suspicious","---","---","---"
"2017-03-16 19:40:03.955","   30.999","TCP  ","12875_68","55964","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:40:03.955","   30.999","TCP  ","EXT_SERVER","80","12875_68","55964","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 20:36:57.327","  100.249","TCP  ","12364_128","63254","EXT_SERVER","80","       6","     383","    1",".AP.SF","  0","unknown","---","---","---"
"2017-03-16 20:36:57.327","  100.249","TCP  ","EXT_SERVER","80","12364_128","63254","       5","     775","    1",".APRSF","  0","unknown","---","---","---"
"2017-03-16 19:40:07.941","   30.997","TCP  ","12875_68","42080","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:40:07.941","   30.997","TCP  ","EXT_SERVER","80","12875_68","42080","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:40:14.133","   30.997","TCP  ","12875_68","19415","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
"2017-03-16 19:40:14.133","   30.997","TCP  ","EXT_SERVER","80","12875_68","19415","       6","     264","    1",".A..S.","  0","unknown","---","---","---"
"2017-03-16 19:40:18.150","   31.000","TCP  ","12875_68","36235","EXT_SERVER","80","       1","      46","    1","....S.","  0","unknown","---","---","---"
